ParkName,State,Country,Adult,Child,partySize,RateType,BookingType,Equipment,BookingStartDate,BookingEnddate,Night,Permits
Amherst Shore,NS ,CANADA ,2,3,5,Full,CampsitePermit,Less than 20ft,08/07/2016,08/08/2016,1,1
Thomas Raddall,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,09/16/2016,09/18/2016,2,1
Mira River,QC ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,08/23/2016,08/24/2016,1,1
Amherst Shore,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,07/23/2016,07/24/2016,1,1
Dollar Lake,NS ,CANADA ,1,3,4,Full,CampsitePermit,Single Tent,09/10/2016,09/11/2016,1,1
Ellenwood Lake,NS ,CANADA ,3,,3,Full,CampsitePermit,Single Tent,05/24/2016,05/25/2016,1,1
The Islands,NS ,CANADA ,4,2,6,Full,CampsitePermit,Tents,07/15/2016,07/17/2016,2,1
Valleyview,NS ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,08/31/2016,09/05/2016,5,1
Cape Chignecto,NB ,CANADA ,1,,1,Full,BackcountryPermit,Single Tent,07/20/2016,07/21/2016,1,1
Laurie,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,06/30/2016,07/03/2016,3,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/15/2016,07/18/2016,3,1
Graves Island,NS ,CANADA ,1,1,2,Full,CampsitePermit,Single Tent,07/29/2016,07/31/2016,2,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/22/2016,07/23/2016,1,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,08/22/2016,08/23/2016,1,1
Porters Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,06/23/2016,06/24/2016,1,1
Amherst Shore,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,08/08/2016,08/09/2016,1,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,09/24/2016,09/26/2016,2,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,07/01/2016,07/03/2016,2,1
Rissers Beach,NB ,CANADA ,1,,1,Full,CampsitePermit,Less than 20ft,09/20/2016,09/23/2016,3,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,05/21/2016,05/23/2016,2,1
Graves Island,ON ,CANADA ,2,,2,Full,CampsitePermit,Less than 40ft,08/31/2016,09/02/2016,2,1
Ellenwood Lake,NS ,CANADA ,3,3,6,Full,CampsitePermit,Less than 20ft,06/30/2016,07/02/2016,2,1
Valleyview,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,08/05/2016,08/07/2016,2,1
Boylston,AB ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,08/18/2016,08/19/2016,1,1
Graves Island,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,06/24/2016,06/26/2016,2,1
Mira River,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,07/08/2016,07/10/2016,2,1
The Islands,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,08/01/2016,08/06/2016,5,1
Blomidon,NS ,CANADA ,1,,1,Full,CampsitePermit,Less than 20ft,05/20/2016,05/23/2016,3,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/15/2016,07/17/2016,2,1
Rissers Beach,ON ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,06/16/2016,06/19/2016,3,1
Cape Chignecto,NS ,CANADA ,1,,1,Full,BackcountryPermit,Single Tent,05/21/2016,05/22/2016,1,1
Ellenwood Lake,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,06/09/2016,06/10/2016,1,1
Blomidon,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/30/2016,08/01/2016,2,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,06/25/2016,06/26/2016,1,1
Rissers Beach,NS ,CANADA ,4,1,5,Full,CampsitePermit,Less than 20ft,07/29/2016,07/31/2016,2,1
Caribou Munroes,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,09/16/2016,09/18/2016,2,1
Battery,NS ,CANADA ,4,,4,Full,CampsitePermit,Less than 20ft,08/18/2016,08/20/2016,2,1
Dollar Lake,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 20ft,07/13/2016,07/15/2016,2,1
Porters Lake,NS ,CANADA ,6,,6,Full,CampsitePermit,Tents,07/15/2016,07/16/2016,1,1
Thomas Raddall,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,09/09/2016,09/11/2016,2,1
Caribou Munroes,NS ,CANADA ,2,3,5,Full,CampsitePermit,Less than 30ft,07/15/2016,07/17/2016,2,1
Amherst Shore,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,08/21/2016,08/22/2016,1,1
Ellenwood Lake,NS ,CANADA ,4,,4,Full,CampsitePermit,Single Tent,07/21/2016,07/22/2016,1,1
Porters Lake,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,06/17/2016,06/27/2016,10,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,08/31/2016,09/01/2016,1,1
Blomidon,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,07/08/2016,07/10/2016,2,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,08/04/2016,08/07/2016,3,1
Amherst Shore,QC ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,09/01/2016,09/02/2016,1,1
Graves Island,NS ,CANADA ,2,,2,Senior,CampsitePermit,Tents,05/26/2016,05/27/2016,1,1
Porters Lake,NS ,CANADA ,2,2,4,Veteran,CampsitePermit,Less than 30ft,09/02/2016,09/05/2016,3,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 40ft,06/18/2016,06/20/2016,2,1
Caribou Munroes,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,08/26/2016,08/28/2016,2,1
Porters Lake,NS ,CANADA ,6,,6,Full,CampsitePermit,Tents,10/04/2016,10/05/2016,1,1
Graves Island,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 40ft,06/10/2016,06/12/2016,2,1
Rissers Beach,NS ,CANADA ,1,2,3,Full,CampsitePermit,Less than 20ft,07/15/2016,07/17/2016,2,1
Whycocomagh,AB ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/12/2016,07/13/2016,1,1
Porters Lake,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,08/18/2016,08/23/2016,5,1
Rissers Beach,QC ,CANADA ,3,,3,Full,CampsitePermit,Single Tent,08/10/2016,08/13/2016,3,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,08/17/2016,08/19/2016,2,1
Whycocomagh,QC ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,07/07/2016,07/09/2016,2,1
The Islands,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,07/26/2016,07/28/2016,2,1
Graves Island,NS ,CANADA ,6,,6,Full,CampsitePermit,Less than 20ft,08/19/2016,08/21/2016,2,1
Battery,ON ,CANADA ,5,,5,Full,CampsitePermit,Single Tent,08/08/2016,08/09/2016,1,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,09/16/2016,09/18/2016,2,1
Cape Chignecto,NS ,CANADA ,2,,2,Full,BackcountryPermit,Single Tent,07/29/2016,07/30/2016,1,1
Mira River,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,08/26/2016,08/28/2016,2,1
Five Islands,NS ,CANADA ,3,2,5,Full,CampsitePermit,Single Tent,07/17/2016,07/18/2016,1,1
Salsman,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,06/20/2016,06/22/2016,2,1
Mira River,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 20ft,08/18/2016,08/21/2016,3,1
Caribou Munroes,ON ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,07/14/2016,07/15/2016,1,1
Whycocomagh,NS ,CANADA ,3,,3,Full,CampsitePermit,Tents,08/08/2016,08/09/2016,1,1
Amherst Shore,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/01/2016,07/03/2016,2,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,07/08/2016,07/10/2016,2,1
Caribou Munroes,NS ,CANADA ,2,3,5,Full,CampsitePermit,Less than 30ft,06/29/2016,07/04/2016,5,1
Dollar Lake,NS ,CANADA ,1,3,4,Full,CampsitePermit,Tents,07/20/2016,07/22/2016,2,1
Blomidon,NS ,CANADA ,2,3,5,Full,CampsitePermit,Single Tent,08/23/2016,08/24/2016,1,1
Blomidon,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,07/08/2016,07/10/2016,2,1
Porters Lake,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,08/05/2016,08/06/2016,1,1
Graves Island,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,10/08/2016,10/09/2016,1,1
Porters Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,08/08/2016,08/11/2016,3,1
Battery,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/30/2016,07/31/2016,1,1
Smileys,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,08/27/2016,08/28/2016,1,1
Mira River,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,08/14/2016,08/17/2016,3,1
Rissers Beach,BC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,09/08/2016,09/09/2016,1,1
Caribou Munroes,NS ,CANADA ,4,,4,Full,CampsitePermit,Less than 20ft,07/08/2016,07/10/2016,2,1
Salsman,NS ,CANADA ,4,,4,Full,CampsitePermit,Tents,08/12/2016,08/14/2016,2,1
Caribou Munroes,NS ,CANADA ,1,,1,Full,CampsitePermit,Less than 20ft,09/02/2016,09/05/2016,3,1
Laurie,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,08/19/2016,08/21/2016,2,1
Rissers Beach,NS ,CANADA ,4,,4,Full,CampsitePermit,Less than 40ft,08/18/2016,08/20/2016,2,1
Laurie,NS ,CANADA ,4,,4,Full,CampsitePermit,Tents,06/26/2016,06/28/2016,2,1
Salsman,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,07/31/2016,08/02/2016,2,1
Mira River,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,08/15/2016,08/17/2016,2,1
Five Islands,QC ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,08/07/2016,08/08/2016,1,1
Rissers Beach,NS ,CANADA ,2,3,5,Full,CampsitePermit,Less than 40ft,08/05/2016,08/07/2016,2,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,08/30/2016,09/01/2016,2,1
Porters Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,08/05/2016,08/08/2016,3,1
Ellenwood Lake,NS ,CANADA ,2,3,5,Full,CampsitePermit,Single Tent,08/02/2016,08/05/2016,3,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Tents,07/08/2016,07/09/2016,1,1
Cape Chignecto,NS ,CANADA ,2,,2,Full,BackcountryPermit,Single Tent,10/01/2016,10/02/2016,1,1
Whycocomagh,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 20ft,08/11/2016,08/12/2016,1,1
Mira River,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,09/01/2016,09/02/2016,1,1
Caribou Munroes,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,07/18/2016,07/20/2016,2,1
Mira River,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 40ft,08/13/2016,08/15/2016,2,1
Thomas Raddall,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,06/29/2016,07/01/2016,2,1
Caribou Munroes,NS ,CANADA ,1,,1,Full,CampsitePermit,Less than 20ft,06/18/2016,06/20/2016,2,1
Battery,ON ,CANADA ,3,,3,Full,CampsitePermit,Tents,08/30/2016,08/31/2016,1,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,10/07/2016,10/09/2016,2,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,09/09/2016,09/11/2016,2,1
Porters Lake,ON ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,08/30/2016,08/31/2016,1,1
Rissers Beach,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,07/01/2016,07/03/2016,2,1
Rissers Beach,QC ,CANADA ,4,,4,Full,CampsitePermit,Less than 20ft,08/14/2016,08/15/2016,1,1
Smileys,NS ,CANADA ,3,,3,Full,CampsitePermit,Single Tent,06/17/2016,06/19/2016,2,1
Porters Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 40ft,09/23/2016,09/25/2016,2,1
Amherst Shore,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/05/2016,07/06/2016,1,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/15/2016,07/17/2016,2,1
Rissers Beach,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,08/12/2016,08/16/2016,4,1
Graves Island,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,07/29/2016,07/30/2016,1,1
Caribou Munroes,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,09/09/2016,09/11/2016,2,1
Graves Island,NL ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/03/2016,07/05/2016,2,1
Smileys,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,08/31/2016,09/02/2016,2,1
Blomidon,NS ,CANADA ,3,,3,Full,CampsitePermit,Single Tent,07/04/2016,07/05/2016,1,1
Laurie,ON ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,07/07/2016,07/08/2016,1,1
Caribou Munroes,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,07/19/2016,07/21/2016,2,1
Graves Island,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 40ft,08/13/2016,08/21/2016,8,1
Porters Lake,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,10/03/2016,10/04/2016,1,1
Blomidon,NS ,CANADA ,1,3,4,Full,CampsitePermit,Single Tent,07/15/2016,07/17/2016,2,1
Battery,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,08/20/2016,08/22/2016,2,1
Five Islands,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,09/02/2016,09/06/2016,4,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,06/25/2016,06/26/2016,1,1
Mira River,ON ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,08/03/2016,08/05/2016,2,1
The Islands,NS ,CANADA ,3,2,5,Full,CampsitePermit,Single Tent,07/30/2016,08/03/2016,4,1
Caribou Munroes,NS ,CANADA ,3,3,6,Full,CampsitePermit,Less than 30ft,07/23/2016,07/26/2016,3,1
Caribou Munroes,NS ,CANADA ,1,2,3,Full,CampsitePermit,Tents,07/20/2016,07/21/2016,1,1
Salsman,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,08/12/2016,08/14/2016,2,1
Graves Island,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 40ft,10/07/2016,10/09/2016,2,1
Whycocomagh,NS ,CANADA ,2,,2,Full,CampsitePermit,Tents,09/07/2016,09/08/2016,1,1
Graves Island,QC ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,07/25/2016,07/29/2016,4,1
Porters Lake,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,10/07/2016,10/09/2016,2,1
Rissers Beach,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,07/27/2016,07/31/2016,4,1
Mira River,NS ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,08/19/2016,08/21/2016,2,1
The Islands,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,08/21/2016,08/22/2016,1,1
Porters Lake,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,07/17/2016,07/22/2016,5,1
Smileys,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,08/19/2016,08/21/2016,2,1
Laurie,QC ,CANADA ,5,1,6,Full,CampsitePermit,Tents,07/13/2016,07/15/2016,2,1
Graves Island,PE ,CANADA ,2,1,3,Full,CampsitePermit,Less than 20ft,08/22/2016,08/26/2016,4,1
Laurie,BC ,CANADA ,3,,3,Full,CampsitePermit,Tents,07/21/2016,07/24/2016,3,1
Whycocomagh,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,07/18/2016,07/21/2016,3,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 40ft,07/08/2016,07/10/2016,2,1
Mira River,NS ,CANADA ,3,,3,Senior,CampsitePermit,Less than 20ft,08/20/2016,08/21/2016,1,1
Smileys,NS ,CANADA ,3,,3,Full,CampsitePermit,Less than 20ft,08/26/2016,08/28/2016,2,1
Battery,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,09/15/2016,09/16/2016,1,1
Rissers Beach,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,07/26/2016,07/27/2016,1,1
Cape Chignecto,NB ,CANADA ,2,,2,Full,BackcountryPermit,Single Tent,08/31/2016,09/03/2016,3,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/08/2016,07/10/2016,2,1
Caribou Munroes,ON ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,09/05/2016,09/06/2016,1,1
Rissers Beach,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,07/13/2016,07/14/2016,1,1
Graves Island,BC ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,08/26/2016,08/27/2016,1,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,06/30/2016,07/03/2016,3,1
Caribou Munroes,QC ,CANADA ,2,1,3,Full,CampsitePermit,Less than 20ft,07/26/2016,07/27/2016,1,1
Smileys,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,08/11/2016,08/12/2016,1,1
Dollar Lake,NS ,CANADA ,3,,3,Full,CampsitePermit,Single Tent,07/01/2016,07/02/2016,1,1
Graves Island,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,07/10/2016,07/15/2016,5,1
Mira River,NS ,CANADA ,3,3,6,Full,CampsitePermit,Single Tent,08/27/2016,08/28/2016,1,1
Mira River,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,08/31/2016,09/01/2016,1,1
Rissers Beach,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,09/03/2016,09/04/2016,1,1
Battery,NS ,CANADA ,4,1,5,Full,CampsitePermit,Single Tent,09/01/2016,09/05/2016,4,1
Dollar Lake,NS ,CANADA ,2,4,6,Full,CampsitePermit,Single Tent,07/01/2016,07/02/2016,1,1
Graves Island,ON ,CANADA ,2,,2,Senior,CampsitePermit,Less than 40ft,08/01/2016,08/03/2016,2,1
Laurie,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,06/24/2016,06/26/2016,2,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Tents,06/18/2016,06/19/2016,1,1
Rissers Beach,NS ,CANADA ,3,,3,Full,CampsitePermit,Single Tent,09/15/2016,09/16/2016,1,1
Salsman,NS ,CANADA ,2,,2,Full,CampsitePermit,Tents,07/29/2016,08/01/2016,3,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,08/15/2016,08/18/2016,3,1
Graves Island,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,08/21/2016,08/22/2016,1,1
Five Islands,QC ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,07/04/2016,07/05/2016,1,1
Mira River,ON ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,08/14/2016,08/15/2016,1,1
Amherst Shore,NB ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/25/2016,07/26/2016,1,1
Battery,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,08/20/2016,08/21/2016,1,1
Ellenwood Lake,NS ,CANADA ,3,2,5,Senior,CampsitePermit,Tents,07/08/2016,07/10/2016,2,1
Dollar Lake,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,09/04/2016,09/05/2016,1,1
Porters Lake,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,08/25/2016,08/26/2016,1,1
Laurie,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,09/09/2016,09/11/2016,2,1
Mira River,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 40ft,08/22/2016,08/25/2016,3,1
Rissers Beach,QC ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,07/20/2016,07/23/2016,3,1
Caribou Munroes,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,07/26/2016,07/27/2016,1,1
Battery,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,09/08/2016,09/09/2016,1,1
Dollar Lake,NS ,CANADA ,4,1,5,Full,CampsitePermit,Less than 30ft,09/15/2016,09/19/2016,4,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 40ft,05/20/2016,05/23/2016,3,1
Rissers Beach,NB ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,08/27/2016,08/31/2016,4,1
Five Islands,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,07/27/2016,07/28/2016,1,1
Thomas Raddall,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/20/2016,07/23/2016,3,1
Graves Island,NB ,CANADA ,2,3,5,Full,CampsitePermit,Tents,08/11/2016,08/12/2016,1,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,06/17/2016,06/19/2016,2,1
Cape Chignecto,NS ,CANADA ,1,,1,Full,BackcountryPermit,Single Tent,09/24/2016,09/25/2016,1,1
Five Islands,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,08/05/2016,08/07/2016,2,1
Caribou Munroes,ON ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,07/12/2016,07/13/2016,1,1
Mira River,NS ,CANADA ,1,2,3,Full,CampsitePermit,Single Tent,08/09/2016,08/10/2016,1,1
Graves Island,ON ,CANADA ,2,5,7,Full,CampsitePermit,Single Tent,07/24/2016,07/25/2016,1,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,08/05/2016,08/07/2016,2,1
Five Islands,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,08/27/2016,08/28/2016,1,1
Amherst Shore,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,07/22/2016,07/24/2016,2,1
Rissers Beach,NS ,CANADA ,4,1,5,Full,CampsitePermit,Tents,07/15/2016,07/17/2016,2,1
Dollar Lake,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,08/05/2016,08/08/2016,3,1
Five Islands,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,08/20/2016,08/21/2016,1,1
Porters Lake,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,07/02/2016,07/04/2016,2,1
Caribou Munroes,ON ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,08/07/2016,08/08/2016,1,1
Graves Island,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,06/17/2016,06/19/2016,2,1
Graves Island,NS ,CANADA ,3,1,4,Full,CampsitePermit,Less than 30ft,09/03/2016,09/05/2016,2,1
Rissers Beach,ON ,CANADA ,1,3,4,Full,CampsitePermit,Single Tent,08/05/2016,08/06/2016,1,1
Caribou Munroes,NS ,CANADA ,4,,4,Full,CampsitePermit,Less than 20ft,07/15/2016,07/17/2016,2,1
Salsman,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,08/27/2016,08/29/2016,2,1
Five Islands,NS ,CANADA ,2,3,5,Full,CampsitePermit,Single Tent,08/19/2016,08/21/2016,2,1
Ellenwood Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/13/2016,07/15/2016,2,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 40ft,09/22/2016,09/25/2016,3,1
Cape Chignecto,NB ,CANADA ,2,,2,Full,BackcountryPermit,Single Tent,08/05/2016,08/07/2016,2,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,07/27/2016,07/29/2016,2,1
Thomas Raddall,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,05/20/2016,05/22/2016,2,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,09/16/2016,09/18/2016,2,1
Valleyview,NB ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,07/22/2016,07/23/2016,1,1
Rissers Beach,ON ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,08/09/2016,08/18/2016,9,1
Battery,ON ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,09/19/2016,09/23/2016,4,1
Thomas Raddall,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,07/26/2016,07/29/2016,3,1
Battery,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/31/2016,08/02/2016,2,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,08/12/2016,08/15/2016,3,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,06/10/2016,06/12/2016,2,1
Five Islands,NS ,CANADA ,2,3,5,Full,CampsitePermit,Single Tent,07/05/2016,07/08/2016,3,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,07/08/2016,07/10/2016,2,1
Blomidon,NS ,CANADA ,4,1,5,Full,CampsitePermit,Single Tent,08/25/2016,08/26/2016,1,1
Blomidon,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,07/08/2016,07/10/2016,2,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,06/26/2016,06/30/2016,4,1
Amherst Shore,NB ,CANADA ,2,,2,Full,CampsitePermit,Less than 40ft,09/09/2016,09/11/2016,2,1
Mira River,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,06/30/2016,07/03/2016,3,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,08/12/2016,08/15/2016,3,1
Salsman,NS ,CANADA ,3,,3,Full,CampsitePermit,Tents,09/03/2016,09/05/2016,2,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,07/24/2016,07/27/2016,3,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,08/15/2016,08/19/2016,4,1
Smileys,ON ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,09/14/2016,09/17/2016,3,1
Porters Lake,AB ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,08/08/2016,08/11/2016,3,1
Five Islands,ON ,CANADA ,1,,1,Full,CampsitePermit,Less than 20ft,07/25/2016,07/26/2016,1,1
